四川卫视4K50P,rtp://239.0.0.203:5140

湖南卫视4K50P,rtp://239.0.0.204:5140

江苏卫视4K50P,rtp://239.0.0.205:5140

浙江卫视4K50P,rtp://239.0.0.206:5140

东方卫视4K50P,rtp://239.0.0.207:5140

山东卫视4K50P,rtp://239.0.0.208:5140

CCTV-1高清,rtp://239.0.0.10:5140

CCTV-2高清,rtp://239.0.0.11:5140

CCTV-3高清,rtp://239.0.0.12:5140

CCTV-4高清,rtp://239.0.0.13:5140

CCTV-5高清,rtp://239.0.0.14:5140

CCTV-6高清,rtp://239.0.0.15:5140

CCTV-7高清,rtp://239.0.0.16:5140

CCTV-8高清,rtp://239.0.0.17:5140

CCTV-9高清,rtp://239.0.0.18:5140

CCTV-10高清,rtp://239.0.0.19:5140

CCTV-11高清,rtp://239.0.0.187:5140

CCTV-12高清,rtp://239.0.0.20:5140

CCTV-13高清,rtp://239.0.0.190:5140

CCTV-14高清,rtp://239.0.0.21:5140

CCTV-15高清,rtp://239.0.0.188:5140

CCTV-17高清,rtp://239.0.0.152:5140

CCTV-5+高清,rtp://239.0.0.22:5140

CCTV-4K,rtp://239.0.0.184:5140

四川卫视高清,rtp://239.0.0.1:5140

SCTV-2高清,rtp://239.0.0.2:5140

SCTV-3高清,rtp://239.0.0.3:5140

SCTV-4高清,rtp://239.0.0.4:5140

SCTV-5高清,rtp://239.0.0.5:5140

SCTV-6高清,rtp://239.0.0.6:5140

SCTV-7高清,rtp://239.0.0.7:5140

SCTV-科教高清,rtp://239.0.0.186:5140

SCTV-9高清,rtp://239.0.0.8:5140

峨眉电影高清,rtp://239.0.0.9:5140

康巴卫视高清,rtp://239.0.0.175:5140

湖南卫视高清,rtp://239.0.0.68:5140

浙江卫视高清,rtp://239.0.0.61:5140

江苏卫视高清,rtp://239.0.0.60:5140

东方卫视高清,rtp://239.0.0.58:5140

北京卫视高清,rtp://239.0.0.52:5140

辽宁卫视高清,rtp://239.0.0.56:5140

深圳卫视高清,rtp://239.0.0.71:5140

天津卫视高清,rtp://239.0.0.54:5140

山东卫视高清,rtp://239.0.0.66:5140

广东卫视高清,rtp://239.0.0.70:5140

湖北卫视高清,rtp://239.0.0.67:5140

黑龙江卫视高清,rtp://239.0.0.57:5140

安徽卫视高清,rtp://239.0.0.65:5140

重庆卫视高清,rtp://239.0.0.72:5140

贵州卫视高清,rtp://239.0.0.64:5140

江西卫视高清,rtp://239.0.0.63:5140

河北卫视高清,rtp://239.0.0.55:5140

东南卫视高清,rtp://239.0.0.62:5140

河南卫视高清,rtp://239.0.0.182:5140

广西卫视高清,rtp://239.0.0.185:5140

吉林卫视高清,rtp://239.0.0.191:5140

甘肃卫视高清,rtp://239.0.0.192:5140

云南卫视高清,rtp://239.0.0.74:5140

