云南-电信,#genre#
云南4K,http://106.59.3.66:55555/rtp/239.200.200.178:8884
云南康旅,http://106.59.3.66:55555/rtp/239.200.200.31:8860
云南少儿,http://106.59.3.66:55555/rtp/239.200.200.32:8864
云南卫视,http://106.59.3.66:55555/rtp/239.200.200.145:8840
云南影视,http://106.59.3.66:55555/rtp/239.200.200.15:8856
云南娱乐,http://106.59.3.66:55555/rtp/239.200.200.13:8848
CCTV1,http://106.59.3.66:55555/rtp/239.200.200.2:8080
CCTV2,http://106.59.3.66:55555/rtp/239.200.200.1:8004
CCTV3,http://106.59.3.66:55555/rtp/239.200.200.71:8012
CCTV4,http://106.59.3.66:55555/rtp/239.200.200.19:8216
CCTV4K,http://106.59.3.66:55555/rtp/239.200.200.202:8784
CCTV4美洲,http://106.59.3.66:55555/rtp/239.200.201.181:4220
CCTV4欧洲,http://106.59.3.66:55555/rtp/239.200.201.180:4220
CCTV5,http://106.59.3.66:55555/rtp/239.200.200.10:9008
CCTV5+,http://106.59.3.66:55555/rtp/239.200.200.9:8004
CCTV6,http://106.59.3.66:55555/rtp/239.200.200.21:9020
CCTV7,http://106.59.3.66:55555/rtp/239.200.200.22:8024
CCTV8,http://106.59.3.66:55555/rtp/239.200.200.72:9020
CCTV9,http://106.59.3.66:55555/rtp/239.200.200.24:8032
CCTV10,http://106.59.3.66:55555/rtp/239.200.200.107:8116
CCTV11,http://106.59.3.66:55555/rtp/239.200.201.125:8480
CCTV12,http://106.59.3.66:55555/rtp/239.200.200.27:8232
CCTV13,http://106.59.3.66:55555/rtp/239.200.200.4:8484
CCTV14,http://106.59.3.66:55555/rtp/239.200.200.28:8236
CCTV15,http://106.59.3.66:55555/rtp/239.200.201.112:8496
CCTV16,http://106.59.3.66:55555/rtp/239.200.200.193:8776
CCTV16-4K,http://106.59.3.66:55555/rtp/239.200.200.194:8780
CCTV17,http://106.59.3.66:55555/rtp/239.200.201.128:8504
CCTV兵器科技,http://106.59.3.66:55555/rtp/239.200.200.91:8036
CCTV第一剧场,http://106.59.3.66:55555/rtp/239.200.200.82:8004
CCTV电视指南,http://106.59.3.66:55555/rtp/239.200.200.83:8000
CCTV风云剧场,http://106.59.3.66:55555/rtp/239.200.200.84:8016
CCTV风云音乐,http://106.59.3.66:55555/rtp/239.200.200.86:8008
CCTV风云足球,http://106.59.3.66:55555/rtp/239.200.200.88:8020
CCTV高尔夫网球,http://106.59.3.66:55555/rtp/239.200.200.89:8024
CCTV怀旧剧场,http://106.59.3.66:55555/rtp/239.200.200.85:8032
CCTV老故事,http://106.59.3.66:55555/rtp/239.200.200.93:8088
CCTV女性时尚,http://106.59.3.66:55555/rtp/239.200.200.100:8084
CCTV世界地理,http://106.59.3.66:55555/rtp/239.200.200.130:8012
CCTV央视台球,http://106.59.3.66:55555/rtp/239.200.200.135:8076
CCTV央视文化精品,http://106.59.3.66:55555/rtp/239.200.200.92:8028
CCTV中学生,http://106.59.3.66:55555/rtp/239.200.200.136:8060
CETV1,http://106.59.3.66:55555/rtp/239.200.201.145:8852
CETV2,http://106.59.3.66:55555/rtp/239.200.201.121:8780
CETV4,http://106.59.3.66:55555/rtp/239.200.201.122:8784
CGTN,http://106.59.3.66:55555/rtp/239.200.201.185:4220
CHC动作电影,http://106.59.3.66:55555/rtp/239.200.201.31:8144
CHC高清电影,http://106.59.3.66:55555/rtp/239.200.201.34:8148
CHC家庭影院,http://106.59.3.66:55555/rtp/239.200.201.30:8140
Unknown_163,http://106.59.3.66:55555/rtp/239.200.200.51:8272
安徽卫视,http://106.59.3.66:55555/rtp/239.200.200.37:8212
