北京电信,#genre#


北京卫视,http://115.171.216.23:4000/rtp/225.1.8.21:8002
北京文艺频道,http://115.171.216.23:4000/udp/225.1.8.22:8002
北京纪实科教,http://115.171.216.23:4000/udp/225.1.8.105:8002
北京影视频道,http://115.171.216.23:4000/udp/225.1.8.82:8000
北京财经频道,http://115.171.216.23:4000/udp/225.1.8.106:8002
北京体育休闲,http://115.171.216.23:4000/udp/225.1.8.23:8002
北京生活频道,http://115.171.216.23:4000/udp/225.1.8.108:8002
北京新闻频道,http://115.171.216.23:4000/udp/225.1.8.83:8000
北京卡酷少儿,http://115.171.216.23:4000/udp/225.1.8.35:8000
北京国际频道,http://115.171.216.23:4000/rtp/225.1.8.131:8002
北京卫视4K超高清,http://115.171.216.23:4000/udp/225.1.8.120:8002
北京卫视4K超高清,http://115.171.216.23:4000/rtp/225.1.8.128:8002
CCTV-1综合,http://115.171.216.23:4000/rtp/225.1.8.1:8008
CCTV-2财经,http://115.171.216.23:4000/rtp/225.1.8.2:8084
CCTV-3综艺,http://115.171.216.23:4000/rtp/225.1.8.88:8000
CCTV-4中文国际,http://115.171.216.23:4000/rtp/225.1.8.4:8092
CCTV-5体育,http://115.171.216.23:4000/rtp/225.1.8.89:8000
CCTV-5+体育赛事,http://115.171.216.23:4000/rtp/225.1.8.20:8004
CCTV-6电影,http://115.171.216.23:4000/rtp/225.1.8.84:8000
CCTV-7国防军事,http://115.171.216.23:4000/rtp/225.1.8.7:8104
CCTV-8电视剧,http://115.171.216.23:4000/rtp/225.1.8.85:8000
CCTV-9纪录,http://115.171.216.23:4000/rtp/225.1.8.9:8112
CCTV-10科教,http://115.171.216.23:4000/rtp/225.1.8.10:8116
CCTV-11戏曲,http://115.171.216.23:4000/rtp/225.1.8.73:8120
CCTV-12社会与法,http://115.171.216.23:4000/rtp/225.1.8.12:8124
CCTV-13新闻,http://115.171.216.23:4000/rtp/225.1.8.168:8130
CCTV-14少儿,http://115.171.216.23:4000/rtp/225.1.8.14:8132
CCTV-15音乐,http://115.171.216.23:4000/rtp/225.1.8.74:8136
CCTV-17农业农村,http://115.171.216.23:4000/rtp/225.1.8.17:8144
北京IPTV淘BABY,http://115.171.216.23:4000/rtp/225.1.8.36:8002
北京IPTV淘剧场,http://115.171.216.23:4000/rtp/225.1.8.37:8002
北京IPTV淘电影,http://115.171.216.23:4000/rtp/225.1.8.38:8002
北京IPTV淘娱乐,http://115.171.216.23:4000/rtp/225.1.8.61:8002
北京IPTV萌宠TV,http://115.171.216.23:4000/rtp/225.1.8.63:8002
北京IPTV4K超清,http://115.171.216.23:4000/rtp/225.1.8.211:8002
房山电视台,http://115.171.216.23:4000/rtp/225.1.8.68:8002
朝阳融媒,http://115.171.216.23:4000/rtp/225.1.8.69:8002
密云电视台,http://115.171.216.23:4000/rtp/225.1.8.75:8002
湖南卫视,http://115.171.216.23:4000/udp/225.1.8.41:8012
深圳卫视,http://115.171.216.23:4000/udp/225.1.8.43:8020
江苏卫视,http://115.171.216.23:4000/udp/225.1.8.44:8028
东方卫视,http://115.171.216.23:4000/udp/225.1.8.45:8032
浙江卫视,http://115.171.216.23:4000/udp/225.1.8.46:8036
